a,b,r
GA,Sz,0.9200820513373869
AG,Gutman,0.9196963970426912
R,Gutman,0.919686759199087
mM2,Schultz,0.9194534500371614
AG,Schultz,0.9183964371696642
mM2,Mostar,0.9183125334274623
SCI,Gutman,0.9181804671716222
WW,HR,0.9179042257418822
SCI,Sz,0.9176892905180795
SCI,Schultz,0.9169388924625251
ABC,Sz,0.9167596806051779
GA,Gutman,0.9163302349982029
Sz,Energy,0.9163102496878801
W,EE,0.9157770634357368
M1,Gutman,0.9156614032179682
H,redM1,0.9151132071056617
ABS,Gutman,0.9148017261905569
Gutman,Energy,0.9147425340400215
H,Schultz,0.9147119921648932
ABC,Gutman,0.9144554842473076
R,Sz,0.9142766420494182
SO,Gutman,0.9137158923485112
H,Gutman,0.9137065650700892
Mostar,EE,0.9134827043644448
AZI,Sz,0.9132789627579694
ABC,Schultz,0.9131081825928483
R,Mostar,0.9120624655359346
Schultz,Energy,0.9119923451586032
GA,Schultz,0.9117018861141283
AG,W,0.9114656907522164
H,W,0.9104814726589826
ABS,Schultz,0.9103156169430433
SCI,W,0.9102615355496313
M1,Schultz,0.9101058538122974
AG,Mostar,0.9099412125964705
SO,Schultz,0.909336373666454
M2,Gutman,0.9092299069947145
H,Sz,0.9089097325490916
mM2,Gutman,0.9081515704043213
SO_red,Sz,0.9074264277416662
AZI,Gutman,0.907262850090843
M2,mM2,0.906594293644871
ABC,W,0.9061713325844781
mM1,Alb,0.9058724990188726
redM1,Sz,0.9043910883191343
F,Sz,0.9040774683465781
W,Energy,0.9037885061542625
SO,Mostar,0.9035956035314259
ABC,Mostar,0.9034951222710854
GA,W,0.9015359068403823
M1,Mostar,0.9005253245835453
SCI,Mostar,0.90043617159635
ABS,W,0.9001549206685702
