family,n_tested,n_pass,best_partial_corr,min_max_r
info-theoretic,5,4,0.154075629915857,0.6992489360086172
motif,4,4,0.1177845801282363,0.0518528931621622
centrality,5,4,0.07298032771648191,0.6534228293341262
eccentricity,3,2,0.10900772406341609,0.9143122625624773
spectral-hybrid,3,1,0.07684907795994768,0.6730105590177053
