index,SS,Abr,SA
M1,0.07503,0.34449,0.21779
M2,0.10983,0.52364,0.20975
HM,0.15723,0.72364,0.21727
mM2,0.07474,0.31629,0.23631
R,0.03627,0.16601,0.21846
chi,0.03557,0.16552,0.21489
H/2,0.07030,0.32351,0.21730
ISI,0.02579,0.10205,0.25273
GA,0.03296,0.14894,0.22131
AG,0.03552,0.15881,0.22364
"LO(0,0,1)",0.08311,0.40569,0.20485
"LO(0,0,2)",0.16538,0.79014,0.20930
