index,N_trees,distinct_values,degeneracy_pct
M1,106,18,83.02
M2,106,35,66.98
HM,106,66,37.74
mM2,106,56,47.17
R,106,79,25.47
chi,106,77,27.36
H/2,106,70,33.96
ISI,106,67,36.79
GA,106,79,25.47
AG,106,79,25.47
"LO(0,0,1)",106,79,25.47
"LO(0,0,2)",106,79,25.47
