n,n_trees,alpha,beta,gamma,w_min,w_max,w_path,w_star,min_is_path,max_is_star,min_is_star,max_is_path,classical_match,argmin_degree_seq,argmax_degree_seq
9,47,1.0,0.0,0.0,28.0,64.0,28.0,64.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,1,1","8,1,1,1,1,1,1,1,1"
9,47,-0.5,0.0,0.0,2.8284271247461907,4.414213562373095,4.414213562373095,2.8284271247461907,False,False,True,True,"S_n=min,P_n=max","8,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,1,1"
9,47,0.0,-0.5,0.0,2.6666666666666665,4.1547005383792515,4.1547005383792515,2.6666666666666665,False,False,True,True,"S_n=min,P_n=max","8,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,1,1"
9,47,0.0,-1.0,0.0,0.8888888888888891,2.1666666666666665,2.1666666666666665,0.8888888888888891,False,False,True,True,"S_n=min,P_n=max","8,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,1,1"
9,47,0.0,0.0,1.0,8.79122485017218,17.41303945372999,8.79122485017218,17.41303945372999,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,1,1","8,1,1,1,1,1,1,1,1"
9,47,0.0,0.0,2.0,9.895468082109351,37.901742877144635,9.895468082109351,37.901742877144635,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,1,1","8,1,1,1,1,1,1,1,1"
9,47,1.0,1.0,1.0,112.74734910103308,1253.7388406685589,112.74734910103308,1253.7388406685589,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,1,1","8,1,1,1,1,1,1,1,1"
9,47,-1.0,-1.0,1.0,0.24184777019069426,1.046709318814567,0.8402041416953632,0.24184777019069426,False,False,True,False,neither,"8,1,1,1,1,1,1,1,1","4,2,2,2,2,1,1,1,1"
10,106,1.0,0.0,0.0,32.0,81.0,32.0,81.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,1,1","9,1,1,1,1,1,1,1,1,1"
10,106,-0.5,0.0,0.0,3.0,4.914213562373096,4.914213562373096,3.0,False,False,True,True,"S_n=min,P_n=max","9,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,1,1"
10,106,0.0,-0.5,0.0,2.8460498941515415,4.654700538379252,4.654700538379252,2.8460498941515415,False,False,True,True,"S_n=min,P_n=max","9,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,1,1"
10,106,0.0,-1.0,0.0,0.8999999999999999,2.4166666666666665,2.4166666666666665,0.8999999999999999,False,False,True,True,"S_n=min,P_n=max","9,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,1,1"
